sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2021-09-10;2364,30;2347,51;2349,67;;1;;
2021-09-09;2367,71;2327,57;2353,39;;1;;
2021-09-08;2362,88;2341,36;2347,16;;1;;
2021-09-07;2394,19;2369,80;2377,94;;1;;
2021-09-06;2398,15;2377,57;2394,26;;1;;
2021-09-03;2392,97;2369,73;2369,73;;1;;
2021-09-02;2390,19;2369,66;2388,40;;1;;
2021-09-01;2375,29;2356,99;2368,67;;1;;
2021-08-31;2379,83;2347,61;2351,25;;1;;
2021-08-30;2380,79;2366,61;2372,81;;1;;
2021-08-27;2376,03;2364,35;2373,14;;1;;
2021-08-26;2374,67;2361,90;2371,70;;1;;
2021-08-25;2376,61;2362,33;2376,16;;1;;
2021-08-24;2381,18;2358,58;2367,05;;1;;
2021-08-23;2379,57;2356,28;2371,55;;1;;
2021-08-20;2364,81;2319,53;2360,50;;1;;
2021-08-19;2350,45;2314,08;2330,30;;1;;
2021-08-18;2393,64;2367,98;2371,37;;1;;
2021-08-17;2386,31;2363,11;2383,45;;1;;
2021-08-16;2397,08;2368,66;2373,55;;1;;
2021-08-13;2412,62;2403,80;2407,04;;1;;
2021-08-12;2406,31;2395,47;2405,53;;1;;
2021-08-11;2404,36;2388,30;2401,49;;1;;
2021-08-10;2395,28;2385,76;2393,74;;1;;
2021-08-09;2385,70;2367,51;2384,76;;1;;
2021-08-06;2396,41;2379,68;2380,46;;1;;
2021-08-05;2403,67;2390,39;2393,68;;1;;
2021-08-04;2397,29;2382,30;2393,10;;1;;
2021-08-03;2383,75;2370,65;2380,14;;1;;
2021-08-02;2392,69;2374,71;2381,66;;1;;
2021-07-30;2373,99;2353,14;2369,89;;1;;
2021-07-29;2392,46;2379,77;2384,19;;1;;
2021-07-28;2384,77;2373,62;2381,89;;1;;
2021-07-27;2385,72;2366,99;2375,97;;1;;
2021-07-26;2392,76;2375,11;2387,66;;1;;
2021-07-23;2384,80;2357,84;2384,69;;1;;
2021-07-22;2357,14;2341,02;2352,35;;1;;
2021-07-21;2338,73;2316,78;2334,37;;1;;
2021-07-20;2310,20;2281,93;2303,54;;1;;
2021-07-19;2330,48;2280,54;2287,46;;1;;
2021-07-16;2355,06;2332,12;2338,80;;1;;
2021-07-15;2364,99;2337,81;2344,49;;1;;
2021-07-14;2358,68;2338,42;2356,34;;1;;
2021-07-13;2353,30;2333,69;2349,19;;1;;
